WIID,Type,Description,Status,Date,ClientID,AccountNumber,AccountAmount,Currency
110304955,WI1,Verify Account Position,Open,2025-08-07,XX97615,598445,-344141,EUR
110304956,WI1,Verify Account Position,Open,2022-08-29,XX97615,339671,184203,USD
110304974,WI1,Verify Account Position,Open,2019-07-28,PU23971,371895,306297,CAD
110304985,WI1,Verify Account Position,Open,2022-01-14,UK18656,266230,698141,CAD
110304968,WI1,Verify Account Position,Open,2024-10-28,KJ93404,420664,-218124,CAD
110304981,WI1,Verify Account Position,Open,2019-01-04,BA92200,228430,138366,CAD
110304964,WI1,Verify Account Position,Open,2020-03-13,OZ56329,863399,-938932,USD
110304961,WI1,Verify Account Position,Open,2021-02-18,EU67601,732317,-819571,EUR
110304963,WI1,Verify Account Position,Open,2020-10-10,OZ56329,826542,1987064,RON
110304976,WI1,Verify Account Position,Open,2018-09-16,DR69832,830267,3443676,RON
110304957,WI1,Verify Account Position,Open,2025-09-17,XX97615,245086,1016799,USD
110304967,WI1,Verify Account Position,Open,2024-11-18,KJ93404,581506,100790,EUR
110304971,WI1,Verify Account Position,Open,2023-07-23,CX76110,685610,814518,CAD
110304977,WI1,Verify Account Position,Open,2023-03-25,GF87351,469835,-180609,USD
110304954,WI1,Verify Account Position,Open,2024-06-22,FP75053,842650,946715,CAD
110304965,WI1,Verify Account Position,Open,2023-04-01,PO26319,231125,3350865,RON
110304970,WI1,Verify Account Position,Open,2025-11-25,CX76110,577378,2281507,CAD
110304984,WI1,Verify Account Position,Open,2024-03-09,UK18656,615930,1361564,USD
110304973,WI1,Verify Account Position,Open,2022-01-17,PU23971,910362,-309463,RON
110304972,WI1,Verify Account Position,Open,2021-12-23,XW47730,242113,368049,USD
110304975,WI1,Verify Account Position,Open,2018-06-20,PU23971,561837,309368,EUR
110304962,WI1,Verify Account Position,Open,2020-10-25,OZ56329,536717,-708578,RON
110304982,WI1,Verify Account Position,Open,2025-04-24,BA92200,959291,-885111,USD
110304983,WI1,Verify Account Position,Open,2024-05-06,BA92200,995778,-999998,RON
110304960,WI1,Verify Account Position,Open,2024-11-14,EU67601,672980,-1445610,RON
110304978,WI1,Verify Account Position,Open,2017-02-13,RX80036,903585,263356,CAD
110304980,WI1,Verify Account Position,Open,2023-05-22,RX80036,178306,1337659,RON
110304969,WI1,Verify Account Position,Open,2017-11-25,CX76110,449558,1041398,RON
110304979,WI1,Verify Account Position,Open,2023-05-05,RX80036,428889,214294,USD
110304959,WI1,Verify Account Position,Open,2024-09-05,EU67601,215431,1548903,RON
110304966,WI1,Verify Account Position,Open,2022-04-24,PO26319,278694,1264996,RON
110304958,WI1,Verify Account Position,Open,2024-03-25,KI44163,499088,1138050,EUR
